cluster_label,ra_deg_param,dec_deg_param,r_sun_display_param,r_gc_kpc_display_param,n_rv,n_pm,present_mass_display,v_mag_display,mass_to_light_display,core_radius_pc,half_light_radius_pc,half_mass_radius_pc,tidal_radius_pc,log_core_density,log_half_mass_density,log_relaxation_time_yr,log_initial_mass_msun,remaining_dissolution_time_gyr,mass_range_display,mf_slope_display,sigma0_kms,vesc_kms,eta_core,eta_half_mass,rotation_amplitude_display,rotation_probability_percent,r_sun_kpc_param,r_gc_kpc_param,present_mass_msun,v_mag,mass_to_light_v,mf_slope,rotation_amplitude_kms,ra_deg,dec_deg,galactic_l_deg,galactic_b_deg,r_sun_display,r_gc_kpc_display,rv_kms_display,pmra_masyr_display,pmdec_masyr_display,pm_correlation,x_kpc_display,y_kpc_display,z_kpc_display,u_kms_display,v_kms_display,w_kms_display,r_peri_kpc_display,r_apo_kpc_display,r_sun_kpc,r_gc_kpc,rv_kms,pmra_masyr,pmdec_masyr,x_kpc,y_kpc,z_kpc,u_kms,v_kms,w_kms,r_peri_kpc,r_apo_kpc,cluster_name,cluster_alias,semi_major_axis_kpc,eccentricity,initial_mass_msun,mass_loss_fraction,radius_bin_paper
Pal 2,71.52462,31.3815,26.17 ± 1.28,34.19 ± 1.25,16,490,2.20 ± 0.39 · 105,12.64 ± 0.06,1.26 ± 0.23,1.68,4.82,7.64,121.33,2.92,1.77,9.61,6.26,6.6,0.55 − 0.80,-1.90 ± 0.23,5.0,19.2,-0.37,-0.08,,,26.17,34.19,220000.00000000003,12.64,1.26,-1.9,,71.52462,31.3815,170.53,-9.072,26.17 ± 1.28,34.19 ± 1.25,-135.97 ± 1.55,1.229 ± 0.054,-1.533 ± 0.043,0.13,33.67 ± 1.25,4.25 ± 0.21,-4.13 ± 0.20,-104.05 ± 2.14,-10.43 ± 5.83,24.77 ± 6.10,0.70 ± 0.42,38.81 ± 1.46,26.17,34.19,-135.97,1.229,-1.533,33.67,4.25,-4.13,-104.05,-10.43,24.77,0.7,38.81,Pal 2,,19.755000000000003,0.9645659326752719,1819700.8586099825,0.8791010077513225,outer_>15kpc
NGC 6934,308.54739,7.40447,15.72 ± 0.17,12.83 ± 0.14,78,1936,1.50 ± 0.04 · 105,8.74 ± 0.03,1.67 ± 0.06,0.71,2.96,4.71,89.19,3.73,2.23,9.17,5.6,28.8,0.38 − 0.79,-1.14 ± 0.15,5.5,21.4,-0.37,-0.12,,,15.72,12.83,150000.0,8.74,1.67,-1.14,,308.547394,7.404472,52.103,-18.893,15.72 ± 0.17,12.83 ± 0.14,-406.22 ± 0.73,-2.658 ± 0.008,-4.691 ± 0.007,0.12,-0.96 ± 0.10,11.73 ± 0.13,-5.09 ± 0.06,-88.22 ± 0.62,-302.01 ± 0.65,122.23 ± 0.58,3.69 ± 2.50,42.10 ± 1.68,15.72,12.83,-406.22,-2.658,-4.691,-0.96,11.73,-5.09,-88.22,-302.01,122.23,3.69,42.1,NGC 6934,,22.895,0.8388294387420835,398107.1705534969,0.6232170352735626,outer_>15kpc
NGC 6101,246.45049,-72.20219,14.45 ± 0.19,10.36 ± 0.15,71,76,1.74 ± 0.31 · 105,8.68 ± 0.03,2.50 ± 0.45,5.52,9.59,13.87,88.95,1.49,0.89,9.96,5.56,81.2,0.24 − 0.79,-0.90 ± 0.14,3.3,11.5,-0.24,-0.06,,,14.45,10.36,174000.0,8.68,2.5,-0.9,,246.450485,-72.202194,317.746,-15.825,14.45 ± 0.19,10.36 ± 0.15,366.33 ± 0.32,1.760 ± 0.012,-0.252 ± 0.012,0.07,-2.11 ± 0.13,-9.35 ± 0.12,-3.94 ± 0.05,-297.01 ± 0.63,83.88 ± 0.67,-190.08 ± 0.81,10.19 ± 0.13,35.74 ± 1.11,14.45,10.36,366.33,1.76,-0.252,-2.11,-9.35,-3.94,-297.01,83.88,-190.08,10.19,35.74,NGC 6101,,22.965,0.5562812976268235,363078.05477010104,0.5207642056191586,outer_>15kpc
NGC 5824,225.99416,-33.06814,31.71 ± 0.60,25.42 ± 0.57,140,146,7.46 ± 0.41 · 105,8.86 ± 0.07,1.99 ± 0.17,0.61,4.51,6.31,254.86,4.65,2.55,9.61,6.15,307.9,0.67 − 0.77,-1.30 ± 0.41,11.3,44.8,-0.41,-0.03,6.47 ± 2.28,99.7,31.71,25.42,746000.0,8.86,1.99,-1.3,6.47,225.994156,-33.068138,332.555,22.071,31.71 ± 0.60,25.42 ± 0.57,-25.24 ± 0.52,-1.193 ± 0.010,-2.228 ± 0.009,-0.2,-17.90 ± 0.49,-13.55 ± 0.26,11.92 ± 0.23,97.40 ± 0.96,-61.59 ± 1.35,-179.17 ± 1.35,13.94 ± 1.19,34.99 ± 1.61,31.71,25.42,-25.24,-1.193,-2.228,-17.9,-13.55,11.92,97.4,-61.59,-179.17,13.94,34.99,NGC 5824,,24.465,0.43020641733088094,1412537.5446227554,0.47187244484943347,outer_>15kpc
Pal 15,254.9626,-0.539,44.10 ± 1.14,37.28 ± 1.10,5,0,5.25 ± 1.04 · 104,13.69 ± 0.05,3.62 ± 0.73,14.85,20.01,27.01,104.51,-0.17,-0.5,10.16,5.62,4.6,0.47 − 0.78,-1.41 ± 0.16,1.3,4.3,-0.14,-0.04,,,44.1,37.28,52500.0,13.69,3.62,-1.41,,254.9626,-0.539,18.849,24.337,44.10 ± 1.14,37.28 ± 1.10,72.27 ± 1.74,-0.601 ± 0.035,-0.855 ± 0.029,-0.06,-29.85 ± 0.98,12.98 ± 0.33,18.17 ± 0.47,-136.67 ± 3.47,65.03 ± 6.22,53.59 ± 6.41,1.52 ± 0.53,49.66 ± 1.48,44.1,37.28,72.27,-0.601,-0.855,-29.85,12.98,18.17,-136.67,65.03,53.59,1.52,49.66,Pal 15,,25.59,0.9406017975771784,416869.3834703355,0.8740612717514767,outer_>15kpc
NGC 7006,315.37263,16.18732,39.32 ± 0.56,36.67 ± 0.53,41,0,1.32 ± 0.35 · 105,10.69 ± 0.04,1.54 ± 0.41,1.7,4.31,6.59,168.56,2.72,1.74,9.4,5.62,16.8,0.36 − 0.79,-1.26 ± 0.14,4.2,15.7,-0.35,-0.11,,,39.32,36.67,132000.0,10.69,1.54,-1.26,,315.372626,16.187323,63.77,-19.407,39.32 ± 0.56,36.67 ± 0.53,-383.47 ± 0.73,-0.115 ± 0.010,-0.619 ± 0.009,0.03,-8.21 ± 0.23,33.27 ± 0.47,-13.06 ± 0.19,62.61 ± 1.61,-134.21 ± 1.07,84.85 ± 1.69,2.33 ± 0.18,50.56 ± 0.78,39.32,36.67,-383.47,-0.115,-0.619,-8.21,33.27,-13.06,62.61,-134.21,84.85,2.33,50.56,NGC 7006,,26.445,0.9118926072981661,416869.3834703355,0.6833540546894273,outer_>15kpc
NGC 5466,211.36371,28.53444,16.12 ± 0.16,16.48 ± 0.14,68,722,5.61 ± 0.76 · 104,9.32 ± 0.03,1.35 ± 0.19,6.15,9.55,13.75,76.7,0.9,0.41,9.75,5.2,22.6,0.21 − 0.78,-0.86 ± 0.12,1.9,6.5,-0.21,-0.1,0.84 ± 0.65,81.3,16.12,16.48,56100.0,9.32,1.35,-0.86,0.84,211.363709,28.534445,42.15,73.592,16.12 ± 0.16,16.48 ± 0.14,106.82 ± 0.20,-5.336 ± 0.005,-0.809 ± 0.004,0.17,4.80 ± 0.03,3.06 ± 0.03,15.46 ± 0.16,217.90 ± 0.34,-33.47 ± 0.34,225.06 ± 0.22,6.16 ± 0.26,47.79 ± 1.51,16.12,16.48,106.82,-5.336,-0.809,4.8,3.06,15.46,217.9,-33.47,225.06,6.16,47.79,NGC 5466,,26.975,0.771640407784986,158489.3192461114,0.6460329297466116,outer_>15kpc
NGC 6715 M 54,283.76385,-30.47986,26.28 ± 0.33,18.51 ± 0.31,1600,2720,1.59 ± 0.03 · 106,7.57 ± 0.06,1.87 ± 0.11,0.55,3.58,5.78,279.15,5.17,2.99,9.76,6.47,613.5,0.52 − 0.80,-1.42 ± 0.19,17.2,68.9,-0.35,-0.04,0.57 ± 1.11,18.5,26.28,18.51,1590000.0,7.57,1.87,-1.42,0.57,283.763855,-30.479862,5.607,-14.087,26.28 ± 0.33,18.51 ± 0.31,143.13 ± 0.43,-2.682 ± 0.007,-1.374 ± 0.007,0.25,-17.19 ± 0.32,2.49 ± 0.03,-6.40 ± 0.08,-235.36 ± 0.47,-17.11 ± 0.84,203.74 ± 0.84,14.77 ± 0.33,46.92 ± 1.89,26.28,18.51,143.13,-2.682,-1.374,-17.19,2.49,-6.4,-235.36,-17.11,203.74,14.77,46.92,NGC 6715,M 54,30.845,0.5211541578862053,2951209.226666384,0.46123779173866764,outer_>15kpc
Ter 7,289.43298,-34.65772,24.28 ± 0.49,16.85 ± 0.47,45,0,2.23 ± 0.38 · 104,11.85 ± 0.04,2.00 ± 0.35,3.96,6.34,12.18,62.04,0.94,0.17,9.51,4.72,25.5,0.35 − 1.04,-1.62 ± 0.14,1.3,4.6,-0.29,-0.12,,,24.28,16.85,22300.0,11.85,2.0,-1.62,,289.432983,-34.657722,3.387,-20.067,24.28 ± 0.49,16.85 ± 0.47,159.45 ± 0.14,-2.990 ± 0.013,-1.659 ± 0.012,0.24,-14.59 ± 0.46,1.35 ± 0.03,-8.33 ± 0.17,-266.95 ± 0.55,-29.06 ± 1.42,196.22 ± 1.44,14.57 ± 0.48,50.41 ± 3.74,24.28,16.85,159.45,-2.99,-1.659,-14.59,1.35,-8.33,-266.95,-29.06,196.22,14.57,50.41,Ter 7,,32.489999999999995,0.5515543244075101,52480.74602497723,0.5750822598941956,outer_>15kpc
Pal 13,346.68519,12.77154,23.48 ± 0.40,24.57 ± 0.36,20,0,2.78 ± 0.52 · 103,13.89 ± 0.05,1.79 ± 0.34,0.33,11.72,15.67,37.65,3.3,-1.06,9.22,4.62,1.9,0.24 − 0.78,0.29 ± 0.22,0.5,1.8,-0.33,-0.05,,,23.48,24.57,2780.0,13.89,1.79,0.29,,346.68519,12.771539,87.103,-42.7,23.48 ± 0.40,24.57 ± 0.37,25.30 ± 0.22,1.740 ± 0.039,0.116 ± 0.032,0.11,7.31 ± 0.01,17.23 ± 0.29,-15.92 ± 0.27,161.51 ± 4.18,216.80 ± 2.57,-77.87 ± 2.82,6.91 ± 0.34,58.24 ± 1.76,23.48,24.57,25.3,1.74,0.116,7.31,17.23,-15.92,161.51,216.8,-77.87,6.91,58.24,Pal 13,,32.575,0.787874136607828,41686.93834703355,0.9333124448512582,outer_>15kpc
Pal 12,326.6618,-21.25261,18.49 ± 0.30,15.28 ± 0.26,24,0,6.19 ± 1.19 · 103,11.99 ± 0.04,1.25 ± 0.24,3.17,7.06,10.54,63.95,0.64,-0.2,9.13,4.35,9.5,0.37 − 0.84,-0.61 ± 0.15,0.7,2.5,-0.22,-0.11,,,18.49,15.28,6190.0,11.99,1.25,-0.61,,326.661804,-21.252611,30.51,-47.682,18.49 ± 0.30,15.28 ± 0.26,27.91 ± 0.28,-3.225 ± 0.013,-3.320 ± 0.012,0.46,-2.55 ± 0.17,6.32 ± 0.10,-13.67 ± 0.22,-327.57 ± 0.92,18.08 ± 0.96,109.51 ± 0.77,15.30 ± 0.27,51.25 ± 3.55,18.49,15.28,27.91,-3.225,-3.32,-2.55,6.32,-13.67,-327.57,18.08,109.51,15.3,51.25,Pal 12,,33.275,0.5401953418482345,22387.21138568338,0.7235028564585536,outer_>15kpc
Arp 2,292.18381,-30.35564,28.73 ± 0.34,21.39 ± 0.33,49,0,3.87 ± 0.64 · 104,11.65 ± 0.04,1.89 ± 0.32,8.33,14.21,19.34,87.04,0.36,-0.19,9.85,4.96,44.2,0.41 − 0.80,-0.75 ± 0.14,1.3,4.5,-0.22,-0.06,4.06 ± 4.15,67.6,28.73,21.39,38700.0,11.65,1.89,-0.75,4.06,292.183807,-30.355639,8.545,-20.785,28.73 ± 0.34,21.39 ± 0.33,122.64 ± 0.29,-2.317 ± 0.012,-1.487 ± 0.010,0.21,-18.38 ± 0.32,3.99 ± 0.05,-10.19 ± 0.12,-248.46 ± 0.69,-13.89 ± 1.42,175.88 ± 1.53,17.77 ± 0.38,51.38 ± 2.06,28.73,21.39,122.64,-2.317,-1.487,-18.38,3.99,-10.19,-248.46,-13.89,175.88,17.77,51.38,Arp 2,,34.575,0.4860448300795372,91201.08393559097,0.5756629380925874,outer_>15kpc
AM 4,209.08907,-27.16517,29.01 ± 0.94,24.58 ± 0.87,14,0,7.46 ± 1.49 · 102,16.49 ± 0.05,3.59 ± 0.74,2.12,6.46,11.29,28.85,0.06,-1.21,8.78,4.02,2.1,0.39 − 0.88,-2.79 ± 0.41,0.2,0.9,-0.23,-0.07,,,29.01,24.58,746.0,16.49,3.59,-2.79,,209.089066,-27.165171,320.283,33.51,29.01 ± 0.94,24.58 ± 0.87,151.19 ± 2.85,-0.538 ± 0.306,-2.485 ± 0.349,-0.46,-10.43 ± 0.60,-15.46 ± 0.50,16.02 ± 0.52,-126.95 ± 32.78,-68.39 ± 38.19,-162.90 ± 39.49,21.12 ± 5.02,52.50 ± 97.64,29.01,24.58,151.19,-0.538,-2.485,-10.43,-15.46,16.02,-126.95,-68.39,-162.9,21.12,52.5,AM 4,,36.81,0.42624286878565604,10471.285480508985,0.9287575530828008,outer_>15kpc
NGC 5694,219.90125,-26.53878,34.84 ± 0.74,29.16 ± 0.70,136,0,2.69 ± 0.25 · 105,9.86 ± 0.12,1.79 ± 0.26,0.02,3.08,4.35,228.62,7.3,2.6,9.13,5.74,303.2,0.62 − 0.78,-0.88 ± 0.33,9.3,33.6,-0.36,-0.06,5.62 ± 6.40,62.3,34.84,29.16,269000.0,9.86,1.79,-0.88,5.62,219.901245,-26.538776,331.056,30.36,34.84 ± 0.74,29.16 ± 0.70,-139.55 ± 0.49,-0.476 ± 0.012,-1.102 ± 0.011,-0.36,-18.13 ± 0.56,-14.55 ± 0.31,17.61 ± 0.37,114.37 ± 1.32,144.79 ± 1.72,-170.18 ± 1.60,29.14 ± 0.71,59.26 ± 1.47,34.84,29.16,-139.55,-0.476,-1.102,-18.13,-14.55,17.61,114.37,144.79,-170.18,29.14,59.26,NGC 5694,,44.2,0.34072398190045244,549540.8738576248,0.5105004690339148,outer_>15kpc
Whiting 1,30.7375,-3.25278,30.59 ± 1.17,35.15 ± 1.11,3,0,1.37 ± 0.27 · 103,14.62 ± 0.08,0.34 ± 0.07,1.88,9.42,16.53,43.92,0.32,-1.44,9.22,3.68,6.5,0.67 − 0.99,-1.16 ± 0.60,0.3,1.1,-0.16,-0.03,,,30.59,35.15,1370.0,14.62,0.34,-1.16,,30.737499,-3.252778,161.618,-60.636,30.59 ± 1.17,35.15 ± 1.11,-130.41 ± 1.79,-0.244 ± 0.051,-2.019 ± 0.042,0.06,22.41 ± 0.54,4.73 ± 0.18,-26.66 ± 1.02,-246.96 ± 6.29,32.88 ± 6.60,-7.97 ± 3.57,35.15 ± 1.12,61.94 ± 4.86,30.59,35.15,-130.41,-0.244,-2.019,22.41,4.73,-26.66,-246.96,32.88,-7.97,35.15,61.94,Whiting 1,,48.545,0.2759295499021526,4786.300923226385,0.7137664300729967,outer_>15kpc
NGC 2419,114.53529,38.88194,88.47 ± 2.40,95.93 ± 2.33,183,0,7.83 ± 1.17 · 105,10.56 ± 0.03,1.61 ± 0.24,8.32,19.76,26.37,734.97,1.55,0.71,10.63,6.16,1559.0,0.47 − 0.78,-1.57 ± 0.21,5.1,18.2,-0.16,0.0,,,88.47,95.93,783000.0,10.56,1.61,-1.57,,114.535286,38.881944,180.37,25.241,88.47 ± 2.40,95.93 ± 2.33,-21.10 ± 0.31,0.002 ± 0.012,-0.540 ± 0.008,0.14,88.20 ± 2.17,-0.52 ± 0.01,37.73 ± 1.03,-6.07 ± 2.17,33.70 ± 3.47,-55.89 ± 4.56,13.27 ± 1.49,96.98 ± 2.62,88.47,95.93,-21.1,0.002,-0.54,88.2,-0.52,37.73,-6.07,33.7,-55.89,13.27,96.98,NGC 2419,,55.125,0.7592743764172336,1445439.770745928,0.45829634977047284,outer_>15kpc
Ter 8,295.43503,-33.99947,27.54 ± 0.42,20.43 ± 0.40,73,0,7.59 ± 1.64 · 104,11.05 ± 0.03,2.19 ± 0.48,10.04,15.17,21.24,108.21,0.44,-0.02,10.1,5.21,77.8,0.28 − 0.77,-1.14 ± 0.15,1.8,6.0,-0.21,-0.05,0.79 ± 1.51,37.5,27.54,20.43,75900.0,11.05,2.19,-1.14,0.79,295.435028,-33.999474,5.759,-24.559,27.54 ± 0.42,20.43 ± 0.40,148.53 ± 0.17,-2.499 ± 0.009,-1.580 ± 0.006,-0.44,-16.74 ± 0.38,2.51 ± 0.04,-11.44 ± 0.17,-278.55 ± 0.53,-15.93 ± 0.83,173.31 ± 1.07,17.66 ± 0.48,95.16 ± 119.42,27.54,20.43,148.53,-2.499,-1.58,-16.74,2.51,-11.44,-278.55,-15.93,173.31,17.66,95.16,Ter 8,,56.41,0.6869349406133665,162181.009735893,0.532004393587135,outer_>15kpc
Eridanus,66.18561,-21.18678,84.68 ± 2.89,89.76 ± 2.78,14,0,9.29 ± 1.86 · 103,15.02 ± 0.03,0.74 ± 0.15,9.23,13.64,18.83,157.3,-0.37,-0.78,9.57,4.3,63.8,0.59 − 0.81,-1.06 ± 0.33,0.7,2.2,-0.21,-0.09,,,84.68,89.76,9290.0,15.02,0.74,-1.06,,66.185608,-21.186781,218.106,-41.332,84.68 ± 2.89,89.76 ± 2.78,-22.91 ± 0.72,0.477 ± 0.029,-0.295 ± 0.035,-0.23,58.21 ± 1.71,-39.24 ± 1.34,-55.93 ± 1.91,-55.48 ± 11.10,68.30 ± 11.41,131.30 ± 8.85,11.79 ± 3.13,119.38 ± 3.92,84.68,89.76,-22.91,0.477,-0.295,58.21,-39.24,-55.93,-55.48,68.3,131.3,11.79,119.38,Eridanus,,65.585,0.8202332850499353,19952.62314968879,0.5343970599602639,outer_>15kpc
AM 1,58.75959,-49.61528,118.91 ± 3.40,120.27 ± 3.28,2,0,1.96 ± 0.39 · 104,15.07 ± 0.05,0.83 ± 0.17,6.92,14.79,20.32,262.61,0.18,-0.55,9.75,4.59,133.3,0.65 − 0.82,-1.07 ± 0.34,0.9,3.3,-0.25,-0.05,,,118.91,120.27,19600.0,15.07,0.83,-1.07,,58.759586,-49.615276,258.361,-48.471,118.91 ± 3.40,120.27 ± 3.28,118.00 ± 14.14,0.384 ± 0.066,-0.196 ± 0.082,-0.21,24.08 ± 0.45,-77.21 ± 2.20,-89.01 ± 2.54,-7.19 ± 44.37,-8.91 ± 31.66,76.86 ± 27.49,24.32 ± 15.37,127.61 ± 26.77,118.91,120.27,118.0,0.384,-0.196,24.08,-77.21,-89.01,-7.19,-8.91,76.86,24.32,127.61,AM 1,,75.965,0.6798525636806423,38904.51449942805,0.4962024265773025,outer_>15kpc
Pal 3,151.38162,0.07167,94.84 ± 3.23,98.17 ± 3.13,22,0,1.85 ± 0.34 · 104,14.56 ± 0.03,1.45 ± 0.27,15.23,20.16,27.6,229.68,-0.64,-0.97,9.97,4.57,107.6,0.58 − 0.84,-1.14 ± 0.25,0.8,2.4,-0.11,-0.04,,,94.84,98.17,18500.0,14.56,1.45,-1.14,,151.381622,0.071667,240.14,41.864,94.84 ± 3.23,98.17 ± 3.13,94.04 ± 0.80,0.071 ± 0.047,-0.182 ± 0.057,-0.49,43.34 ± 1.20,-61.26 ± 2.09,63.29 ± 2.16,-41.10 ± 20.58,135.12 ± 19.31,51.48 ± 16.91,44.63 ± 8.90,112.67 ± 39.17,94.84,98.17,94.04,0.071,-0.182,43.34,-61.26,63.29,-41.1,135.12,51.48,44.63,112.67,Pal 3,,78.65,0.4325492689129052,37153.52290971728,0.5020660612735209,outer_>15kpc
Crater,174.06875,-10.87697,147.23 ± 4.27,147.00 ± 4.12,33,0,1.21 ± 0.24 · 104,15.74 ± 0.11,1.29 ± 0.29,13.66,19.56,27.62,245.78,-0.75,-1.15,9.93,4.37,131.6,0.65 − 0.94,-1.52 ± 0.23,0.6,2.0,-0.11,-0.03,,,147.23,147.0,12100.0,15.74,1.29,-1.52,,174.06875,-10.876972,274.809,47.848,147.23 ± 4.27,147.00 ± 4.12,148.10 ± 0.65,-0.013 ± 0.112,-0.132 ± 0.095,-0.27,-0.11 ± 0.24,-98.46 ± 2.86,109.15 ± 3.17,-56.16 ± 75.54,91.39 ± 52.12,58.51 ± 46.24,82.65 ± 46.65,244.73 ± 157.27,147.23,147.0,148.1,-0.013,-0.132,-0.11,-98.46,109.15,-56.16,91.39,58.51,82.65,244.73,Crater,,163.69,0.49508216751176,23442.288153199228,0.48383878225007304,outer_>15kpc
Sagittarius II,298.16471,-22.06525,66.53 ± 1.56,59.54 ± 1.52,23,0,3.05 ± 0.55 · 104,14.04 ± 0.12,2.43 ± 0.52,20.55,29.04,39.44,384.15,-0.85,-1.23,10.33,4.78,135.1,0.45 − 0.80,-1.52 ± 0.17,0.8,2.7,-0.13,-0.03,,,66.53,59.54,30500.0,14.04,2.43,-1.52,,298.164708,-22.065251,18.937,-22.893,66.53 ± 1.56,59.54 ± 1.51,-175.73 ± 0.37,-0.807 ± 0.045,-0.897 ± 0.028,-0.03,-49.79 ± 1.36,19.89 ± 0.47,-25.88 ± 0.61,-22.93 ± 6.70,-119.98 ± 8.75,199.42 ± 12.51,59.67 ± 1.55,325.66 ± 204.89,66.53,59.54,-175.73,-0.807,-0.897,-49.79,19.89,-25.88,-22.93,-119.98,199.42,59.67,325.66,Sagittarius II,,192.66500000000002,0.6902914385072535,60255.95860743581,0.4938259932315443,outer_>15kpc
Pyxis,136.9869,-37.2266,36.53 ± 0.66,38.61 ± 0.62,43,0,3.22 ± 0.53 · 104,13.20 ± 0.04,2.41 ± 0.40,13.46,17.05,23.52,132.78,-0.24,-0.53,9.99,4.81,105.4,0.42 − 0.83,-1.44 ± 0.16,1.1,3.6,-0.12,-0.07,,,36.53,38.61,32200.000000000004,13.2,2.41,-1.44,,136.9869,-37.2266,261.321,6.992,36.53 ± 0.66,38.61 ± 0.62,40.46 ± 0.21,1.026 ± 0.016,0.144 ± 0.019,0.09,13.65 ± 0.10,-35.84 ± 0.64,4.45 ± 0.08,-107.18 ± 3.00,215.25 ± 0.67,159.69 ± 2.97,38.66 ± 0.63,432.44 ± 151.99,36.53,38.61,40.46,1.026,0.144,13.65,-35.84,4.45,-107.18,215.25,159.69,38.66,432.44,Pyxis,,235.55,0.8358734875822542,64565.42290346549,0.5012810487101804,outer_>15kpc
Pal 14,242.7525,14.95778,73.58 ± 1.63,68.55 ± 1.56,16,0,1.91 ± 0.35 · 104,14.13 ± 0.03,1.70 ± 0.32,15.86,27.63,37.72,45.81,-0.83,-1.35,10.19,5.03,6.0,0.54 − 0.81,-1.26 ± 0.24,0.7,2.3,-0.16,-0.01,,,73.58,68.55,19100.0,14.13,1.7,-1.26,,242.7525,14.957778,28.746,42.192,73.58 ± 1.63,68.55 ± 1.56,72.30 ± 0.14,-0.458 ± 0.038,-0.414 ± 0.037,0.23,-39.62 ± 1.06,26.22 ± 0.58,49.42 ± 1.09,-99.22 ± 9.79,77.43 ± 12.14,122.42 ± 9.68,3.75 ± 0.92,500.00 ± 0.00,73.58,68.55,72.3,-0.458,-0.414,-39.62,26.22,49.42,-99.22,77.43,122.42,3.75,500.0,Pal 14,,251.875,0.9851116625310173,107151.9305237607,0.8217484285477747,outer_>15kpc
Laevens 3,316.7267,14.9805,61.77 ± 1.65,58.85 ± 1.58,9,0,2.7 · 103,16.10,1.80,2.22,7.16,9.85,51.98,0.64,-0.47,8.95,4.21,6.5,—,-0.39,0.5,1.9,-0.35,-0.12,,,61.77,58.85,2700.0,16.1,1.8,-0.39,,316.7267,14.9805,63.593,-21.176,61.77 ± 1.65,58.85 ± 1.59,-70.30 ± 0.82,0.242 ± 0.102,-0.748 ± 0.079,0.07,-17.44 ± 0.68,51.59 ± 1.38,-22.31 ± 0.60,-68.19 ± 24.47,74.23 ± 12.76,-144.15 ± 25.55,16.94 ± 5.20,500.00 ± 0.00,61.77,58.85,-70.3,0.242,-0.748,-17.44,51.59,-22.31,-68.19,74.23,-144.15,16.94,500.0,Laevens 3,,258.47,0.9344604789724145,16218.100973589299,0.8335193494973998,outer_>15kpc
Pal 4,172.31833,28.97337,101.39 ± 2.57,104.05 ± 2.47,23,0,1.53 ± 0.28 · 104,14.23 ± 0.04,0.81 ± 0.15,10.96,15.88,21.12,207.54,-0.35,-0.71,9.7,4.47,152.6,0.59 − 0.82,-0.34 ± 0.27,0.8,2.6,-0.18,-0.09,,,101.39,104.05,15300.0,14.23,0.81,-0.34,,172.318329,28.973373,202.311,71.801,101.39 ± 2.57,104.05 ± 2.47,72.40 ± 0.24,-0.460 ± 0.300,-0.291 ± 0.256,-0.21,37.47 ± 0.74,-12.02 ± 0.30,96.32 ± 2.44,147.95 ± 134.01,32.27 ± 125.91,7.63 ± 44.83,69.82 ± 32.47,500.00 ± 0.00,101.39,104.05,72.4,-0.46,-0.291,37.47,-12.02,96.32,147.95,32.27,7.63,69.82,500.0,Pal 4,,284.90999999999997,0.754940156540662,29512.09226666384,0.4815684411070198,outer_>15kpc
